global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gp,gpp,nu-err,sw-err,nu-ref,sw-ref
   36, 7,1, 7749.831251, 9.399E-30, 2.321E-05, 1743.1550,   19,   19,   21,4,6,1179, 855
   36, 7,1, 7750.122949, 2.220E-29, 5.295E-05, 2012.8914,   73,   73,   75,5,5,1483,1484
   36, 7,1, 7750.168442, 8.604E-30, 6.042E-05, 2095.2429,   37,   37,   37,4,6,1179, 855
   38, 7,3, 7750.820148, 9.261E-31, 2.442E-05,  768.8195,  258,  258,  270,5,6,1179, 851
   36, 7,1, 7751.806590, 1.558E-31, 3.687E-07, 2011.2078,   73,   73,   73,5,4,1483,1484
   36, 7,1, 7751.806590, 2.427E-29, 5.744E-05, 2011.2078,   73,   73,   73,5,5,1483,1484
   36, 7,1, 7752.423216, 2.049E-32, 4.836E-08, 2010.5912,   73,   73,   77,5,4,1483,1484
   37, 7,2, 7755.040319, 5.579E-30, 2.546E-05,  748.2144,   43,   43,   45,5,6,1179, 855
   36, 7,1, 7755.464226, 1.079E-29, 5.153E-05, 1992.1165,   33,   33,   35,4,6,1179, 855
   38, 7,3, 7757.174623, 1.199E-30, 2.434E-05,  704.8474,  246,  246,  258,5,6,1179, 851
   36, 7,1, 7757.293168, 5.335E-32, 3.394E-10,  664.2595,   39,   39,   43,5,4,1483,1484
   36, 7,1, 7757.328981, 1.279E-29, 6.056E-05, 1990.2517,   33,   33,   33,4,6,1179, 855
   36, 7,1, 7758.635441, 5.726E-29, 5.268E-05, 1804.8746,   69,   69,   71,5,5,1483,1484
   37, 7,2, 7758.778401, 7.214E-32, 5.304E-05, 1902.4181,   73,   73,   75,5,5,1179, 855
   36, 7,1, 7759.116803, 3.930E-27, 2.480E-05,  662.4359,   39,   39,   41,5,6,1483,1484
   36, 7,1, 7759.116803, 6.637E-29, 4.188E-07,  662.4359,   39,   39,   41,5,4,1483,1484
   36, 7,1, 7760.336210, 4.042E-31, 3.690E-07, 1803.1738,   69,   69,   69,5,4,1483,1484
   36, 7,1, 7760.336210, 6.296E-29, 5.748E-05, 1803.1738,   69,   69,   69,5,5,1483,1484
   37, 7,2, 7760.478112, 7.837E-32, 5.717E-05, 1900.7184,   73,   73,   73,5,5,1179, 855
   36, 7,1, 7760.600038, 2.502E-29, 5.239E-08,  343.9694,   25,   25,   29,5,4,1483,1484
   36, 7,1, 7760.918052, 5.291E-32, 4.817E-08, 1802.5920,   69,   69,   73,5,4,1483,1484
   37, 7,2, 7761.224874, 7.166E-30, 2.538E-05,  685.9548,   41,   41,   43,5,6,1179, 855
   36, 7,1, 7761.928899, 9.215E-30, 2.163E-05, 1683.4581,   15,   15,   17,4,6,1179, 855
   36, 7,1, 7762.441120, 1.464E-29, 5.056E-05, 1898.4477,   29,   29,   31,4,6,1179, 855
   37, 7,2, 7762.817085, 1.137E-31, 5.302E-05, 1802.8115,   71,   71,   73,5,5,1179, 855
   38, 7,3, 7763.494121, 1.528E-30, 2.426E-05,  643.6382,  234,  234,  246,5,6,1179, 851
   36, 7,1, 7764.325168, 1.773E-29, 6.070E-05, 1896.5637,   29,   29,   29,4,6,1179, 855
   37, 7,2, 7764.524858, 1.238E-31, 5.727E-05, 1801.1038,   71,   71,   71,5,5,1179, 855
   37, 7,2, 7766.818440, 1.767E-31, 5.297E-05, 1705.8516,   69,   69,   71,5,5,1179, 855
   36, 7,1, 7766.990130, 1.393E-28, 5.238E-05, 1608.0662,   65,   65,   67,5,5,1483,1484
   37, 7,2, 7767.375317, 9.057E-30, 2.529E-05,  626.3846,   39,   39,   41,5,6,1179, 855
   37, 7,2, 7768.534288, 1.928E-31, 5.735E-05, 1704.1358,   69,   69,   69,5,5,1179, 855
   36, 7,1, 7768.708098, 1.541E-28, 5.749E-05, 1606.3483,   65,   65,   65,5,5,1483,1484
   36, 7,1, 7768.708098, 9.893E-31, 3.691E-07, 1606.3483,   65,   65,   65,5,4,1483,1484
   36, 7,1, 7769.253012, 1.830E-29, 4.921E-05, 1816.0979,   25,   25,   27,4,6,1179, 855
   36, 7,1, 7769.255058, 1.289E-31, 4.797E-08, 1605.8013,   65,   65,   69,5,4,1483,1484
   38, 7,3, 7769.778552, 1.915E-30, 2.416E-05,  585.1943,  222,  222,  234,5,6,1179, 851
   36, 7,1, 7770.187491, 9.443E-32, 3.793E-10,  546.7042,   35,   35,   39,5,4,1483,1484
   37, 7,2, 7770.782568, 2.710E-31, 5.296E-05, 1611.5421,   67,   67,   69,5,5,1179, 855
   38, 7,3, 7771.081497, 6.143E-32, 5.081E-05, 1561.6190,  390,  390,  402,5,5,1179, 851
   36, 7,1, 7771.157173, 2.281E-29, 6.080E-05, 1814.1937,   25,   25,   25,4,6,1179, 855
   36, 7,1, 7772.029479, 6.151E-27, 2.450E-05,  544.8622,   35,   35,   37,5,6,1483,1484
   36, 7,1, 7772.029479, 9.873E-29, 3.933E-07,  544.8622,   35,   35,   37,5,4,1483,1484
   37, 7,2, 7772.506507, 2.963E-31, 5.744E-05, 1609.8182,   67,   67,   67,5,5,1179, 855
   38, 7,3, 7772.806951, 6.730E-32, 5.522E-05, 1559.8935,  390,  390,  390,5,5,1179, 851
   37, 7,2, 7773.491562, 1.126E-29, 2.517E-05,  569.5061,   37,   37,   39,5,6,1179, 855
   36, 7,1, 7773.868727, 7.464E-30, 1.895E-05, 1635.1109,   11,   11,   13,4,6,1179, 855
   37, 7,2, 7774.709566, 4.096E-31, 5.290E-05, 1519.8867,   65,   65,   67,5,5,1179, 855
   38, 7,3, 7775.078734, 9.267E-32, 5.076E-05, 1470.1824,  378,  378,  390,5,5,1179, 851
   36, 7,1, 7775.187855, 3.197E-28, 5.209E-05, 1422.4984,   61,   61,   63,5,5,1483,1484
   36, 7,1, 7775.899700, 2.084E-29, 4.732E-05, 1745.0806,   21,   21,   23,4,6,1179, 855
   38, 7,3, 7776.027822, 2.358E-30, 2.403E-05,  529.5180,  210,  210,  222,5,6,1179, 851
   37, 7,2, 7776.441612, 4.491E-31, 5.754E-05, 1518.1547,   65,   65,   65,5,5,1179, 855
   38, 7,3, 7776.812551, 1.018E-31, 5.531E-05, 1468.4486,  378,  378,  378,5,5,1179, 851
   36, 7,1, 7776.923104, 2.284E-30, 3.692E-07, 1420.7632,   61,   61,   61,5,4,1483,1484
   36, 7,1, 7776.923104, 3.560E-28, 5.754E-05, 1420.7632,   61,   61,   61,5,5,1483,1484
   36, 7,1, 7777.435062, 2.961E-31, 4.775E-08, 1420.2512,   61,   61,   65,5,4,1483,1484
   36, 7,1, 7777.825255, 2.701E-29, 6.079E-05, 1743.1550,   21,   21,   21,4,6,1179, 855
   37, 7,2, 7778.599522, 6.107E-31, 5.285E-05, 1430.8889,   63,   63,   65,5,5,1179, 855
   36, 7,1, 7778.728864, 2.998E-29, 5.009E-08,  260.6824,   21,   21,   25,5,4,1483,1484
   38, 7,3, 7779.037986, 1.378E-31, 5.070E-05, 1381.4787,  366,  366,  378,5,5,1179, 851
   37, 7,2, 7779.573519, 1.377E-29, 2.505E-05,  515.3214,   35,   35,   37,5,6,1179, 855
   37, 7,2, 7780.339694, 6.713E-31, 5.763E-05, 1429.1487,   63,   63,   63,5,5,1179, 855
   38, 7,3, 7780.780187, 1.518E-31, 5.541E-05, 1379.7365,  366,  366,  366,5,5,1179, 851
   38, 7,3, 7782.241834, 2.853E-30, 2.388E-05,  476.6115,  198,  198,  210,5,6,1179, 851
   36, 7,1, 7782.380872, 2.120E-29, 4.457E-05, 1685.4073,   17,   17,   19,4,6,1179, 855
   36, 7,1, 7782.397195, 7.715E-32, 1.216E-04, 3341.3458,   71,   71,   71,4,5,1179, 855
   37, 7,2, 7782.452520, 8.977E-31, 5.279E-05, 1344.5520,   61,   61,   63,5,5,1179, 855
   36, 7,1, 7782.936418, 1.266E-31, 3.439E-10,  440.5618,   31,   31,   35,5,4,1483,1484
   38, 7,3, 7782.959335, 2.019E-31, 5.062E-05, 1295.5114,  354,  354,  366,5,5,1179, 851
   36, 7,1, 7783.229339, 6.911E-28, 5.176E-05, 1248.2013,   57,   57,   59,5,5,1483,1484
   37, 7,2, 7784.200837, 9.896E-31, 5.773E-05, 1342.8037,   61,   61,   61,5,5,1179, 855
   36, 7,1, 7784.330001, 2.909E-29, 6.061E-05, 1683.4581,   17,   17,   17,4,6,1179, 855
   38, 7,3, 7784.709942, 2.231E-31, 5.549E-05, 1293.7607,  354,  354,  354,5,5,1179, 851
   36, 7,1, 7784.797166, 1.368E-28, 3.684E-07,  438.7010,   31,   31,   33,5,4,1483,1484
   36, 7,1, 7784.797166, 8.955E-27, 2.412E-05,  438.7010,   31,   31,   33,5,6,1483,1484
   36, 7,1, 7784.981966, 4.971E-30, 3.693E-07, 1246.4487,   57,   57,   57,5,4,1483,1484
